N°,TIENDA,Horas Aprobadas,Crecimiento,Atención Deseada
736,LENTATE SUL - CC BENNET,,,
738,CC GLI ORSI,,,
739,SALERNO CORSO VITTORIO,,,
737,CC GRANDE SUD GIUGLIANO (NAPOLI),,,
275,CC AMERICA PLAZA,,,
741,CC PORTA DI TORINO,,,
259,CC VIALIA (VIGO),,,
278,C- GRAN DE GRACIA (BARCELONA),,,
742,CC GRAN CUNEO,,,
279,FIGUERES,,,
732,CC ADRIATICO 2 (Portogruaro),,,
625,SANTA CATARINA,,,
281,CC MAGIC (BADALONA),,,
626,FUNCHAL,,,
743,VIA MANNO (CAGLIARI),,,
744,CC I FENICOTTERI (CAGLIARI SANTA GILLA),,,
282,PUERTOLLANO,,,
745,TARANTO (CC MONGOLFIERA ),,,
724,CC LA CORTE LOMBARDA (BELLINZAGO),,,
746,CC LA SCAGLIA (CIVITAVECCHIA),,,
195,CC GLORIES (BARCELONA),,,
285,CALLE COLUMELA (CADIZ),,,
747,CC LA TORRE (PALERMO),,,
748,CC LE ZAGARRE,,,
286,CC EL INGENIO,,,
288,INCA,,,
751,VIMODRONE,,,
287,CC LUZ DEL TAJO (TOLEDO),,,
752,CC CASAMASSIMA (BARI),,,
753,FOGGIA (CC MONGOLFIERA),,,
754,CC CENTRO DEI BORGHI (PISA),,,
283,CC EL ARCANGEL (CORDOBA),,,
749,LAMEZIA TERME - CC DUE MARI,,,
289,CC LA LAGUNA (TENERIFE),,,
292,CALLE CARRETERA (CUENCA),,,
627,RUA TEOFILO (Vila Real de Santo Antonio),,,
755,CC PORTA DI CATANIA (CATANIA),,,
756,CC CONCA D´ORO (PALERMO),,,
757,CC L´AQUILONE (GENOVA),,,
624,CC  GLICINIAS,,,
628,CC BPLANET,,,
629,CC ALMADA FORUM,,,
631,CC FORUM MADEIRA,,,
758,CC LE COLONNE (BRINDISI),,,
759,CC GRAN D´AFFI (AFFI),,,
1101,CC EVRY 2,,,
1102,CC LES 3 FONTAINES (CERGY),,,
762,CC PARCO LEONARDO (FIUMICINO),,,
763,CC MIRABELLO (CANTU),,,
761,IL GIALDO CHIERI TORINO,,,
295,CC SPLAU,,,
764,CC FORUM (PALERMO),,,
765,CC LE PORTE DI NAPOLI (AFRAGOLA),,,
294,LLORET DEL MAR,,,
766,CORSO ITALIA (PISA),,,
297,VILLAFRANCA DE PENEDES (BCN),,,
